,Unnamed: 0,cast_id,character,credit_id,gender,id,name,order,profile_path,movies,appearance,budget_array
1411,1411,2,Dr. Henry Jekyll / Edward Hyde,52fe44dbc3a36847f80ae255,2,6949,John Malkovich,1,/tCtiWZbKKRgHhLxFCIPfveYAsdc.jpg,"[9095, 9386, 10990, 124614, 625, 36758, 1701, 9313, 859, 10220, 24016, 49792, 492, 10047, 13681, 7305, 9609, 48213, 10424, 47439, 10873, 10110, 52780, 32058, 19200, 88818, 7501, 2757, 9486, 47232, 49685, 33517, 12615, 50008, 10955, 95536, 7453, 7548, 9786, 13802, 2486, 2310, 29291, 13256, 4944, 3580, 16867, 16279, 12411, 20533, 39486, 39514, 1782, 38356, 82654, 193380, 171337, 146216, 24786, 230779, 270946, 295069, 276902, 329833, 122198, 201639, 296524, 291276]",68,"[47000000, 40000000, 0, 0, 14400000, 0, 75000000, 0, 14000000, 12000000, 25000000, 0, 13000000, 60000000, 0, 32000000, 0, 0, 20000000, 0, 8000000, 35000000, 0, 0, 14000000, 0, 15000000, 19000000, 40000000, 0, 0, 0, 0, 0, 30000000, 0, 50000000, 0, 0, 0, 100000000, 70000000, 0, 8000000, 37000000, 55000000, 0, 0, 0, 47000000, 35000000, 58000000, 15400000, 195000000, 35000000, 0, 0, 84000000, 0, 10000000, 132000000, 0, 5000000, 50000000, 0, 0, 110000000, 0]"
1412,1412,3,Der Butler Mr. Poole,52fe44dbc3a36847f80ae259,2,47722,George Cole,2,/7sY6HvIAEqH8B009ttQIn90J3S0.jpg,"[9095, 8095, 31952, 13188, 22638, 11402, 58470, 79401, 40350, 14387, 81724, 39288, 29212, 71984, 37037]",15,"[47000000, 31115000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1413,1413,4,Marys Vater,52fe44dbc3a36847f80ae25d,2,5658,Michael Gambon,3,/rcjsXZ6PUKlBbrFNv8itMWLzgXx.jpg,"[9095, 49805, 52038, 18658, 124645, 125587, 7452, 249358, 45609, 65158, 11597, 5332, 197239, 10381, 9008, 2668, 123047, 68170, 32075, 10034, 12660, 5279, 2055, 41944, 21219, 28200, 673, 5137, 18701, 9298, 4836, 421, 11019, 674, 806, 1247, 15163, 675, 13501, 84242, 12568, 31018, 767, 10315, 20504, 12444, 45269, 183894, 12445, 35257, 73358, 121826, 128129, 43741, 40218, 29596, 116149, 65821, 280509, 59178, 270487, 345323, 315620, 332721, 153397, 37237, 68139, 429662, 14606, 68954, 33175]",71,"[47000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90000000, 100000000, 0, 0, 0, 0, 0, 19800000, 22000000, 0, 23000000, 7000000, 130000000, 70000000, 0, 0, 6500000, 50000000, 0, 150000000, 25000000, 85000000, 0, 150000000, 15000000, 0, 20000000, 0, 250000000, 40000000, 80000000, 250000000, 15000000, 0, 125000000, 0, 0, 11000000, 0, 0, 0, 0, 55000000, 0, 0, 0, 22000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1414,1414,5,Mrs. Farraday,52fe44dbc3a36847f80ae261,1,515,Glenn Close,4,/fF6tCfuvuUhaePm5onUNnIE4FvL.jpg,"[9095, 51352, 12280, 2259, 11674, 75, 77223, 9772, 10806, 859, 12560, 9465, 37135, 11393, 10998, 12235, 879, 10264, 10481, 38718, 11307, 59585, 24186, 9499, 20067, 9890, 29080, 13919, 16022, 10982, 6022, 62320, 15740, 73873, 57089, 121831, 127878, 41847, 118340, 263065, 68735, 178541, 15759, 244580, 58242, 154276, 259954, 15657, 277710, 158939, 375366, 331588, 406990]",53,"[47000000, 0, 6000000, 25000000, 54000000, 70000000, 16000000, 85000000, 35000000, 14000000, 0, 10000000, 150000000, 28000000, 14000000, 15000000, 70000000, 0, 85000000, 0, 17000000, 0, 0, 0, 0, 90000000, 0, 0, 0, 15000000, 0, 0, 0, 8000000, 30000000, 0, 0, 0, 170000000, 0, 160000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5005600, 5000000, 0]"
1416,1416,14,Annie,5461f03f0e0a2672b6001d4d,0,33399,Bronagh Gallagher,7,/nFeWufPvkdYOj4wyjF0zb9tL1rb.jpg,"[9095, 680, 1893, 11663, 43997, 9044, 16409, 17153, 10528, 38961, 32407, 51052, 73873, 75778, 84204, 21605, 38156, 18739, 436352]",19,"[47000000, 8000000, 115000000, 0, 0, 31000000, 0, 0, 90000000, 0, 0, 0, 8000000, 0, 0, 0, 0, 0, 0]"
1417,1417,15,Mary's Mother,55dc7a1fc3a3680a46002a75,1,8443,Linda Bassett,8,/raya4YIZ9ArIxl1nVvj1Aoo7XQj.jpg,"[9095, 172545, 61416, 10557, 590, 8696, 64167, 38583, 16367, 13802, 63943, 14524, 315010, 114155, 188521, 447758]",16,"[47000000, 0, 0, 3800000, 25000000, 10000000, 0, 0, 0, 0, 3837625, 0, 0, 0, 0, 0]"
1418,1418,17,Haffinger,55dc7a51c3a3687bb80024a1,2,7030,Henry Goodman,10,/6aubyjy4zS8CCGEbWuHp8QgMhJv.jpg,"[9095, 9403, 10003, 509, 8923, 13802, 21641, 26320, 14614, 177203, 100402, 80787, 99861, 304357, 295964, 277153, 329718, 340101]",18,"[47000000, 28000000, 68000000, 42000000, 0, 0, 10000000, 0, 0, 0, 170000000, 0, 280000000, 11000000, 20000000, 0, 9500000, 32745300]"
1419,1419,12,Maximillian | Pauly | Guido,52fe44c19251416c7503fcdf,2,776,Eddie Murphy,0,/bsi706zdqs0KAPdOsqz6AkLNcFF.jpg,"[12158, 11066, 306, 9327, 8860, 10674, 3050, 9713, 6522, 10136, 11353, 1621, 10411, 12107, 96, 90, 17159, 808, 10808, 9602, 9085, 11595, 150, 5851, 11692, 8427, 10708, 10756, 11221, 809, 15251, 21710, 1125, 9757, 810, 11260, 13394, 19724, 10192, 59108, 72358, 174325, 374461]",43,"[14000000, 40000000, 50000000, 54000000, 55000000, 90000000, 71000000, 60000000, 80000000, 25000000, 55000000, 40600000, 0, 84000000, 20000000, 15000000, 0, 60000000, 70000000, 39000000, 30000000, 38000000, 12000000, 85000000, 100000000, 70000000, 60000000, 90000000, 18000000, 150000000, 0, 0, 70000000, 60000000, 160000000, 60000000, 60000000, 55000000, 165000000, 75000000, 40000000, 0, 8000000]"
1421,1421,17,Julius Jones,52fe44c19251416c7503fceb,2,66554,Kadeem Hardison,3,/aCuoYn6GdVqZyy35JmqaY6TS9bO.jpg,"[12158, 41478, 11858, 10158, 17006, 17667, 36807, 13618, 14123, 10761, 238972, 249021, 95807, 25571]",14,"[14000000, 0, 40000000, 0, 0, 0, 0, 0, 0, 40000000, 0, 0, 0, 3500000]"
1422,1422,19,Dr. Zeko,52fe44c19251416c7503fcf3,2,47458,Zakes Mokae,5,/sxzqrmSm7Kd7eSHzos7UeiT0mke.jpg,"[12158, 9804, 6950, 32146, 31220, 12506, 11503, 21291, 32075, 17190, 7988, 112969, 5237, 75905, 86059, 216153, 2989, 82942]",18,"[14000000, 175000000, 50000000, 0, 0, 0, 7000000, 19000000, 0, 0, 0, 0, 8000000, 0, 0, 0, 17000000, 0]"
1423,1423,20,Capt. Dewey,55a10a00925141297d0014c3,1,593,Joanna Cassidy,6,/p7CQ4EmGmtAaR3YWKRJTnmnRU8i.jpg,"[12158, 78, 12123, 856, 15413, 4918, 47817, 31606, 10016, 48864, 42228, 12503, 5228, 26555, 27678, 29735, 26762, 15639, 1975, 45046, 38850, 11388, 77161, 71996, 97313, 27706, 48842, 81009, 353686, 72912, 57656, 342165, 25610]",33,"[14000000, 28000000, 50000000, 70000000, 10000000, 0, 0, 0, 28000000, 0, 0, 0, 5000000, 15000000, 0, 0, 0, 0, 20000000, 0, 2000000, 4500000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12]"
1424,1424,21,Police Officer,562ff62ac3a3681b5200e109,2,6951,W. Earl Brown,7,/ygTJtQVn9R2NgE1YPybsgk33jBm.jpg,"[12158, 11596, 4232, 8656, 544, 492, 10383, 16723, 23941, 61225, 26486, 27202, 9968, 113947, 57201, 159932, 200505, 228970, 215931, 46562, 261023, 231616, 375082, 23476]",24,"[14000000, 14000000, 14000000, 75000000, 23000000, 13000000, 0, 11000000, 0, 0, 0, 0, 18000000, 1000000, 255000000, 0, 25000000, 15000000, 0, 0, 53000000, 0, 0, 0]"
1426,1426,11,Michael 'Mo' Morris,52fe44e1c3a36847f80af93d,2,11315,Noah Emmerich,1,/iTPoDQq2R5zU17hRwLtWkm2gCmK.jpg,"[9283, 9593, 2142, 37165, 21132, 31306, 10559, 25128, 12100, 9839, 14292, 125360, 16374, 1440, 13150, 38363, 44945, 37686, 58884, 59440, 127916, 190955, 174751]",23,"[0, 85000000, 15000000, 60000000, 0, 0, 31000000, 0, 115000000, 35000000, 28000000, 0, 0, 26000000, 30000000, 22000000, 9500000, 50000000, 0, 25000000, 0, 25500000, 25000000]"
1427,1427,14,Willie Conway,52fe44e1c3a36847f80af949,2,16327,Timothy Hutton,4,/ypC4mzLExwmG0QHfi8vFe9LTeSi.jpg,"[9283, 397, 168535, 18420, 12628, 16619, 2275, 10349, 26578, 25212, 31618, 42010, 34053, 10627, 17168, 57022, 31598, 1586, 11184, 24749, 17379, 54910, 55819, 1247, 2267, 20308, 34898, 13942, 22152, 20777, 27989, 11439, 29151, 47369, 24059, 39042, 50714, 94585, 254918, 301325, 63762, 27969, 32228]",43,"[0, 0, 0, 8000000, 12000000, 6000000, 60000000, 15000000, 0, 0, 19000000, 0, 0, 14000000, 15000000, 0, 0, 40000000, 0, 0, 45000000, 0, 0, 85000000, 0, 0, 4000000, 0, 1500000, 0, 0, 45000000, 0, 0, 0, 0, 0, 0, 0, 1500000, 0, 1900000, 0]"
1428,1428,15,Andera,52fe44e1c3a36847f80af94d,1,139,Uma Thurman,5,/6SuOc2R7kXjq3Em24KTNDW9qblJ.jpg,"[9283, 680, 34444, 8866, 41007, 415, 782, 4415, 859, 9320, 9684, 10424, 29946, 7093, 14506, 20443, 23949, 35694, 45069, 48864, 24, 4823, 9620, 10433, 393, 17993, 4551, 2313, 9899, 4474, 13079, 13401, 32657, 22805, 55246, 86467, 77875, 87818, 121831, 27190, 249397, 205608, 58075, 295964, 384205, 362541, 30840]",47,"[0, 8000000, 8000000, 0, 0, 125000000, 36000000, 0, 14000000, 60000000, 0, 20000000, 15000000, 35000000, 46630000, 0, 100000, 0, 0, 0, 30000000, 0, 60000000, 0, 30000000, 0, 53000000, 0, 45000000, 0, 8000000, 0, 95000000, 0, 0, 9000000, 35000000, 6000000, 0, 0, 0, 0, 0, 20000000, 0, 0, 0]"
1429,1429,23,Stanley 'Stinky' Womack,561f703f92514171d4002b58,2,3201,Pruitt Taylor Vince,10,/p3xmcGJ7IKCxw42lwQbg4WmwPTA.jpg,"[9283, 11593, 241, 11310, 22621, 47112, 10376, 24071, 820, 2291, 46625, 635, 8843, 10480, 10937, 1632, 9604, 46786, 10345, 9296, 9039, 2832, 483, 561, 14125, 13975, 12834, 35689, 47327, 62046, 44032, 73963, 85414, 79697, 109491, 52395, 155084, 119213, 21791, 69040, 51490, 24059, 354216, 43656]",44,"[0, 0, 34000000, 0, 0, 0, 9000000, 0, 40000000, 25000000, 5000000, 17000000, 33000000, 24000000, 3000000, 15000000, 29000000, 0, 17000000, 0, 30000000, 30000000, 9500000, 100000000, 17000000, 0, 9000000, 0, 50000000, 5000000, 0, 3000000, 0, 0, 60000000, 0, 5000000, 0, 0, 0, 4000000, 0, 0, 0]"
1431,1431,28,Dick Conway,5628aa13c3a368488300135b,2,3174,Richard Bright,15,/k2P17sxGhh7Dafidxn9Ub5YbF7n.jpg,"[9283, 10872, 238, 240, 311, 242, 85325, 10518, 42261, 21627, 37749, 26983, 11577, 5916, 27554, 32644, 10654, 79509, 23587, 30877, 59738]",21,"[0, 11000000, 6000000, 13000000, 30000000, 54000000, 0, 6500000, 0, 3000000, 0, 0, 4638783, 3352254, 1645000, 0, 11000000, 0, 0, 0, 0]"
1432,1432,52,Steve Rossmore,57e3b3cbc3a36875890041b3,2,8213,Sam Robards,16,/xBfl2c80eQtbjKTH6dOwFBnFlE7.jpg,"[9283, 3586, 23333, 20348, 14, 10862, 644, 24679, 17170, 11457, 71940, 20483, 13483, 8881, 26350, 24122, 64678, 193212, 96382]",19,"[0, 15000000, 0, 0, 15000000, 35000000, 100000000, 0, 0, 18000000, 0, 18000000, 86000000, 30000000, 0, 0, 0, 0, 0]"
1433,1433,53,Bobby Conway,57e3b3e19251411dc1001ecd,2,15234,David Arquette,17,/p5l4pnL9xhbHiKSipcdsCekoD52.jpg,"[9283, 65796, 28732, 13595, 56830, 4232, 47686, 4233, 108316, 10212, 11355, 10208, 10206, 4234, 20697, 12138, 39180, 8869, 15192, 17736, 20304, 53734, 12483, 66668, 14199, 30712, 18437, 13352, 9847, 12621, 26682, 41446, 51765, 83403, 26168, 146313, 42706, 106968, 301229, 188222, 294963, 291851, 347689, 257258, 394045]",45,"[0, 30000000, 0, 0, 0, 14000000, 0, 24000000, 0, 12000000, 25000000, 24000000, 7000000, 40000000, 24000000, 62000000, 0, 0, 0, 0, 3000000, 0, 5000000, 6000000, 50000000, 0, 0, 0, 0, 0, 1000000, 40000000, 0, 0, 0, 0, 0, 0, 1100000, 30000000, 1800000, 0, 0, 0, 0]"
1434,1434,54,Victor,57e3b3f4925141123c0045f0,2,61607,Adam LeFevre,18,/y17YQ7F99kpqJuCUYfOoeArAkKz.jpg,"[9283, 9058, 9800, 10872, 10220, 9586, 14295, 18734, 11313, 42750, 39141, 112961, 14462, 33625, 9992, 4858, 8676, 13493, 22051, 34016, 50701, 56320, 13078, 306745, 63142, 334524, 55740]",27,"[0, 0, 26000000, 11000000, 12000000, 47000000, 0, 700000, 31000000, 0, 150000, 0, 80000000, 0, 86000000, 80000000, 70000000, 0, 0, 20000000, 0, 0, 0, 7000000, 0, 20000000, 1000000]"
1435,1435,55,Frank Womack,57e3b4089251411d7d001da1,2,3911,John Carroll Lynch,19,/5eEGOANKnCCj7FLa3oV28gGYWkW.jpg,"[9283, 275, 10357, 754, 66588, 8838, 8336, 21719, 21349, 11520, 9683, 9962, 4970, 20483, 26133, 28730, 23478, 1949, 3877, 82519, 13223, 25643, 11324, 39513, 50646, 44835, 58884, 84305, 174337, 244506, 268920, 214756, 306947, 339984, 398137, 376866, 310307, 177085]",38,"[0, 7000000, 90000000, 80000000, 0, 60000000, 0, 0, 23000000, 0, 0, 8000000, 40000000, 18000000, 0, 0, 12000000, 65000000, 16000000, 0, 33000000, 18000000, 80000000, 40000000, 50000000, 7000000, 0, 26350000, 0, 1000000, 35000000, 68000000, 0, 16000000, 0, 9000000, 25000000, 0]"
1456,1456,22,Giles Prentice,52fe44dcc3a36847f80ae755,2,11805,Frank Whaley,5,/ma1lgPwUHUlgdt9BIcIbEPjdx0h.jpg,"[9208, 11777, 680, 20306, 291731, 10537, 2323, 10419, 820, 26689, 2604, 9533, 99826, 1584, 10168, 10410, 23908, 210937, 13935, 16270, 1852, 10294, 18759, 35656, 14127, 73700, 62289, 243935, 16080, 171688, 306943, 262841]",32,"[50000000, 25000000, 8000000, 0, 0, 38000000, 0, 0, 40000000, 0, 14000000, 78000000, 0, 35000000, 0, 35000000, 0, 0, 0, 0, 63000000, 19000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125000000]"
1458,1458,24,Chief Sam Rhodes,52fe44dcc3a36847f80ae75d,2,6198,Vondie Curtis-Hall,7,/tH7QvQ9ST9zLuZZsTHzxMXkgtIy.jpg,"[9208, 36915, 454, 41768, 1573, 45153, 37094, 9995, 4105, 39349, 6535, 14414, 11699, 175541, 309299, 47208, 297850, 240745, 31907]",19,"[50000000, 25000000, 14500000, 0, 70000000, 0, 25000000, 0, 30000000, 0, 0, 0, 25000000, 17500000, 0, 0, 0, 0, 0]"
1459,1459,25,"Chairman, Joint Chief of Staff",52fe44dcc3a36847f80ae761,2,12536,Jack Thompson,8,/l2NNfs9bd6qxqzIOahcz2hErrq8.jpg,"[9208, 36614, 46063, 26180, 8197, 24736, 13783, 24266, 2605, 2057, 69716, 1894, 28881, 12775, 69035, 147169, 11948, 842, 69069, 18882, 60269, 16066, 182, 4629, 4942, 14566, 6972, 33870, 46261, 26405, 199818, 215928, 78094, 126031, 122767, 38920, 283552]",37,"[50000000, 32, 0, 0, 35000000, 0, 107, 3500000, 0, 42000000, 0, 120000000, 29000000, 6500000, 0, 0, 0, 0, 1380000, 7500000, 0, 0, 32000000, 4000000, 58000000, 0, 130000000, 25000000, 25000000, 0, 0, 0, 0, 0, 0, 0, 20000000]"
1460,1460,26,Johnson,52fe44dcc3a36847f80ae765,2,61216,Vyto Ruginis,9,/dDZyaISuF9FVK18nTmsuDgOpyKl.jpg,"[9208, 18658, 9294, 66588, 1813, 9008, 38921, 42010, 9799, 2176, 14112, 58669, 58918, 14171, 18096, 60308, 12594, 9971, 157655, 73954]",20,"[50000000, 0, 32000000, 0, 57000000, 90000000, 0, 0, 38000000, 30000000, 7000000, 0, 0, 12000000, 0, 50000000, 2500000, 0, 0, 0]"
1462,1462,28,Max,52fe44dcc3a36847f80ae76d,2,17857,Shaun Toub,11,/qRHZD8EdqeUor8A6tazJ3v3gxyD.jpg,"[9208, 10307, 270306, 1640, 1595, 2447, 7979, 1726, 10196, 70586, 68721, 227300, 345323, 389323, 308266, 134201]",16,"[50000000, 29000000, 0, 6500000, 0, 35000000, 20000000, 140000000, 150000000, 20000000, 200000000, 0, 0, 0, 40000000, 0]"
1465,1465,3,Henry,52fe4583c3a36847f80cb93f,2,29859,Richard Briers,0,/cdOxeResI28YXe912GbQKKvbKv8.jpg,"[40154, 3036, 11971, 10705, 10549, 6116, 11837, 11790, 51333, 43915, 10601, 750, 750, 19103, 114606, 68337, 144183]",17,"[0, 45000000, 8000000, 9000000, 0, 25000000, 1000000, 0, 13000000, 0, 100000000, 0, 0, 0, 0, 0, 0]"
1466,1466,4,Margaretta,52fe4583c3a36847f80cb943,1,13637,Joan Collins,1,/8KKTDl6jaM6RTWuRpuuXOvMsvG.jpg,"[40154, 889, 42218, 1815, 31804, 38939, 24272, 61564, 37373, 22774, 42564, 43327, 64605, 111678, 48014, 82203, 131799, 152992, 28271, 224600, 118887, 168408, 42468, 11643, 43311, 79730, 47312, 90019, 39925, 120386, 238302, 350505, 24199, 257044, 372411, 159201, 21780]",37,"[0, 83000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7500000, 0, 0, 0, 0, 0, 0]"
1469,1469,10,Fadge,546377a7c3a368124a0023a5,1,9139,Celia Imrie,6,/tAEzs5PFVX5GsfD3KTWINnuTzMJ.jpg,"[40154, 3036, 8009, 9449, 46992, 1893, 4192, 634, 35944, 8696, 11823, 9801, 54794, 11283, 1544, 15013, 10748, 37565, 38031, 74534, 16716, 209249, 276843, 21605, 268238, 86643, 350505, 372411, 38622, 95610, 340837, 295049, 36464]",33,"[0, 45000000, 16000000, 29000000, 0, 115000000, 7920000, 25000000, 0, 10000000, 31000000, 50000000, 0, 25000000, 0, 0, 0, 0, 22000000, 10000000, 0, 0, 0, 0, 10000000, 0, 0, 0, 0, 35000000, 40000000, 0, 0]"
1470,1470,12,Terry Du Bois,56951548c3a3680e9f00222c,2,26860,John Sessions,7,/oLBcHRhah5FxyodfZECIHCrROwG.jpg,"[40154, 10705, 10210, 2669, 10034, 3131, 202587, 11162, 512, 52886, 36811, 46138, 71688, 49522, 34843, 85889, 65821, 43721, 280996, 276907, 315664, 377516, 402298]",23,"[0, 9000000, 11000000, 25000000, 0, 100000000, 0, 0, 4000000, 0, 0, 7200000, 13000000, 0, 0, 5000000, 0, 0, 0, 25000000, 29000000, 0, 10000000]"
1471,1471,13,Young actor,56951563c3a3680e9a002308,2,40311,Adrian Scarborough,8,/i4oo8zApNAbKQKI4yKc0T571dBI.jpg,"[40154, 11318, 4975, 5279, 3472, 11109, 15271, 8618, 1259, 4517, 31875, 45269, 53033, 82695, 283227, 2166, 153397]",17,"[0, 0, 0, 19800000, 0, 11000000, 0, 4000000, 15000000, 55000000, 0, 15000000, 0, 61000000, 0, 0, 0]"
1473,1473,9,Carnforth,52fe4583c3a36847f80cb957,2,56101,Gerard Horan,10,/fsF6Ruuf9DrTllqMaDx5aJpFiaX.jpg,"[40154, 13701, 106837, 11240, 29339, 27450, 15271, 257, 8848, 97434, 45760, 150689, 321612]",13,"[0, 120, 0, 860000, 0, 0, 0, 50000000, 20000000, 0, 0, 95000000, 160000000]"
1477,1477,2,Vinz,52fe423fc3a36847f800f88f,2,1925,Vincent Cassel,0,/yTTyX7xziiMibm0nzcH5z6xxLLv.jpg,"[406, 87729, 47507, 4518, 10047, 808, 60670, 6312, 2084, 6173, 979, 12531, 25935, 10347, 163, 10482, 10046, 8999, 298, 13742, 2252, 13635, 39641, 44214, 15362, 48231, 66120, 50365, 68727, 197796, 19106, 181283, 306482, 314405, 342878, 309809, 211166, 329805, 324668, 338189]",40,"[3000000, 14000000, 0, 30000000, 60000000, 60000000, 2365000, 29000000, 13000000, 0, 0, 0, 0, 0, 110000000, 0, 53000000, 22000000, 85000000, 0, 51500000, 0, 0, 13000000, 80000000, 15000000, 11000000, 4500000, 20000000, 33000000, 12500000, 50000000, 0, 12000000, 0, 64000000, 0, 0, 120000000, 0]"
1479,1479,4,Saïd,52fe423fc3a36847f800f897,0,5419,Saïd Taghmaoui,2,/bOh3ZQ64WiGivN6GJrrO8vrw9wU.jpg,"[406, 10209, 6415, 6016, 6277, 2023, 11169, 1599, 11650, 7979, 7461, 13291, 14869, 49167, 37430, 84316, 168672, 47437, 297762, 325789, 82495]",21,"[3000000, 12000000, 75000000, 0, 0, 100000000, 19250000, 22000000, 0, 20000000, 40000000, 22000000, 175000000, 0, 90000000, 0, 40000000, 0, 149000000, 25000000, 0]"
1483,1483,24,Benoît,52fe4240c3a36847f800f901,2,5442,Benoît Magimel,7,/aDNOzcFpleAbGiWie9LmwijedTT.jpg,"[406, 102461, 49935, 1791, 46466, 10930, 22156, 4271, 60672, 44947, 10798, 5592, 72272, 13507, 48034, 74513, 199977, 85870, 197950, 42427, 329819, 43409, 48431, 13741, 393945, 58133]",26,"[3000000, 0, 0, 3000000, 0, 0, 0, 0, 0, 21000000, 19610000, 0, 0, 9780000, 25000000, 10000000, 0, 27563396, 26000000, 0, 5000000, 0, 0, 0, 0, 0]"
1484,1484,23,Darty,52fe4240c3a36847f800f8fd,2,5441,Edouard Montoute,8,/d2e7IBZgvTxAKZnHvb6X1wQIdFa.jpg,"[406, 9280, 2330, 2334, 2332, 2899, 2335, 48034, 61658, 286512, 57992, 22578]",12,"[3000000, 35000000, 0, 14500000, 0, 0, 0, 25000000, 0, 0, 0, 0]"
1487,1487,25,L'homme saoul,52fe4240c3a36847f800f905,2,5443,Vincent Lindon,11,/ttfk7etXzELkW1gMSo5eH8aEzjY.jpg,"[406, 98505, 77936, 44164, 36372, 11986, 45044, 16998, 15712, 40225, 10800, 14556, 34013, 65081, 54157, 179109, 25518, 77280, 33489, 52286, 320003, 45777, 248611, 170033, 127856, 62134, 309809, 329712, 334918, 56947]",30,"[3000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15000000, 10000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64000000, 0, 0, 0]"
1489,1489,27,Le jeune skinhead,52fe4240c3a36847f800f90d,2,2406,Mathieu Kassovitz,13,/h0LpOBDRawf5pSiVqlHOuoI2ain.jpg,"[406, 47507, 18, 194, 2084, 9045, 48709, 48580, 612, 34068, 64347, 70435, 116231, 21145, 76609, 122192, 300839, 288587, 375356, 339964]",20,"[3000000, 0, 90000000, 10000000, 13000000, 0, 0, 0, 70000000, 0, 0, 23000000, 0, 0, 0, 0, 0, 0, 0, 197471676]"
1490,1490,29,Le chef de la police,52fe4240c3a36847f800f915,2,5444,Philippe Nahon,14,/1ZrnApxh9qZz1EdEB1vKWwoFd5B.jpg,"[406, 1567, 31336, 60670, 6312, 61112, 979, 54045, 48580, 10226, 12517, 10353, 20778, 10800, 14765, 1568, 35552, 37832, 52350, 57212, 45585, 155890, 45368, 187252, 44720, 285549, 342878, 15126, 52369, 285387, 14650]",31,"[3000000, 0, 0, 2365000, 29000000, 0, 0, 0, 0, 0, 0, 0, 0, 15000000, 0, 0, 25000000, 0, 0, 66000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1491,1491,30,L'Officier de Police,52fe4240c3a36847f800f919,2,5445,Zinedine Soualem,15,/fSXaPheMM4e6BUxPMaXrjIi8k4N.jpg,"[406, 11956, 2899, 1826, 14646, 2447, 11958, 2013, 14949, 8265, 13672, 8279, 37652, 50848, 52077, 57307, 157820, 58043, 206408, 59118, 78210, 18303, 297023, 196907]",24,"[3000000, 0, 0, 13000000, 0, 35000000, 10000000, 14000000, 0, 11000000, 6000000, 19000000, 0, 4600000, 32000000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1496,1496,48,Gallery girl,593699d8c3a3685a8b00de22,1,13688,Karin Viard,20,/o12F6rIgJNPAyJa1aUsFSntRmf.jpg,"[406, 892, 124475, 35651, 46466, 6444, 34186, 8279, 67384, 17960, 51447, 52077, 14688, 71157, 14720, 85449, 184020, 58043, 8434, 214093, 304410, 236873, 366566, 341392, 109261, 348025, 56424, 359805, 248705]",29,"[3000000, 4000000, 0, 0, 0, 0, 0, 19000000, 0, 0, 0, 32000000, 0, 0, 0, 0, 0, 0, 0, 0, 11000000, 0, 0, 0, 0, 0, 0, 0, 25868826]"
1497,1497,1,Jo,52fe46c8c3a36847f8111c0b,1,41381,Sadie Frost,0,/nORllrdt6W4GYZUcVXJoM0Cxhg1.jpg,"[45549, 2307, 172198, 6114, 19601, 18002, 47072, 99859, 21344, 20339, 31010, 35153, 350505, 350505, 372411, 393939]",16,"[0, 0, 0, 40000000, 0, 0, 0, 0, 0, 0, 0, 4500000, 0, 0, 0, 0]"
1498,1498,2,Billy,52fe46c8c3a36847f8111c0f,2,9642,Jude Law,1,/yzVboK3mSpWRr39EXBlYTo4ndcn.jpg,"[45549, 782, 45565, 19601, 8197, 39424, 11365, 1946, 1213, 1448, 853, 644, 4147, 18002, 2289, 47072, 5137, 1599, 8849, 2288, 11774, 2567, 1717, 1581, 1253, 4520, 1989, 8054, 10528, 31867, 39538, 44826, 26738, 58574, 89455, 96724, 81188, 109421, 120467, 192134, 246080, 238713, 267192, 274857]",44,"[0, 36000000, 0, 0, 35000000, 0, 0, 15000000, 40000000, 0, 68000000, 100000000, 80000000, 0, 79000000, 0, 70000000, 22000000, 60000000, 27000000, 140000000, 116000000, 55000000, 85000000, 0, 0, 10000000, 30000000, 90000000, 32000000, 60000000, 170000000, 0, 125000000, 0, 0, 145000000, 30000000, 30000000, 0, 0, 65000000, 0, 175000000]"
1499,1499,3,Tommy,52fe46c8c3a36847f8111c13,2,28848,Sean Pertwee,2,/mHNlvnrlFvNddFY6isD0S40lAIu.jpg,"[45549, 18762, 8413, 9425, 89861, 27857, 1613, 11880, 7299, 18002, 9763, 9389, 11494, 9815, 13460, 13256, 17153, 86593, 177699, 127651, 2911, 213842, 66892, 114172, 34469, 64679, 52010, 146631, 301846, 131737, 73772, 47177, 17210]",33,"[0, 0, 60000000, 75000000, 0, 0, 28, 0, 20000000, 0, 30000000, 18000000, 0, 230400, 30000000, 8000000, 0, 0, 4000000, 0, 0, 0, 0, 0, 0, 0, 0, 2500000, 0, 0, 0, 2400000, 0]"
